Company,Industry,Confidence,Priority,EU AI Concern,Source URL
Asian Paints,Manufacturing,High,1,EU employee/customer workflows + governance risk,https://www.freshworks.com/customers/
Avanse,Financial Services,High,1,EU employee/customer workflows + governance risk,https://www.freshworks.com/customers/
Bahamas Government,Public Sector,High,1,EU citizen/student interactions + procurement scrutiny,https://www.freshworks.com/customers/
Woolacombe Bay Holiday Parks,Travel/Hospitality,High,1,EU consumer interactions + transparency obligations,https://www.freshworks.com/customers/
Total Expert,Software/FinTech,High,1,EU customer-facing agents + regulated workflows,https://www.freshworks.com/customers/
Entel,Telecom,High,1,EU consumer interactions + transparency obligations,https://www.genesys.com/customer-stories
Carglass Germany,Automotive Services,High,1,EU employee/customer workflows + governance risk,https://www.genesys.com/customer-stories
TSB Bank,Banking,High,1,EU customer-facing agents + regulated workflows,https://www.genesys.com/customer-stories
Fonterra,Food,High,1,EU consumer interactions + transparency obligations,https://www.genesys.com/customer-stories
Bank Millennium,Banking,High,1,EU customer-facing agents + regulated workflows,https://www.genesys.com/customer-stories
eco24,Logistics/Services,High,1,EU employee/customer workflows + governance risk,https://www.genesys.com/customer-stories
SITA,Travel Tech,High,1,EU consumer interactions + transparency obligations,https://www.genesys.com/customer-stories
JPIMedia,Media,High,1,EU consumer interactions + transparency obligations,https://www.genesys.com/customer-stories
Vivo,Telecom,High,1,EU consumer interactions + transparency obligations,https://www.genesys.com/customer-stories
CallPageboy,Software,High,1,EU employee/customer workflows + governance risk,https://www.genesys.com/customer-stories
Western Governors University,Education,High,1,EU citizen/student interactions + procurement scrutiny,https://www.genesys.com/customer-stories
Westpac New Zealand,Banking,High,1,EU customer-facing agents + regulated workflows,https://www.genesys.com/customer-stories
Vodafone,Telecom,High,1,EU consumer interactions + transparency obligations,https://www.genesys.com/customer-stories
eFinancial,Insurance/FinTech,High,1,EU customer-facing agents + regulated workflows,https://www.genesys.com/customer-stories
Swisscom,Telecom,High,1,EU consumer interactions + transparency obligations,https://www.genesys.com/customer-stories
Quicken,FinTech,High,1,EU customer-facing agents + regulated workflows,https://www.genesys.com/customer-stories
Aterian,Consumer Goods,High,1,EU employee/customer workflows + governance risk,https://www.genesys.com/customer-stories
Pets at Home,Retail,High,1,EU consumer interactions + transparency obligations,https://news.microsoft.com/source/emea/features/with-copilot-agents-pets-at-home-unleashes-an-ai-revolution/
Stanford Health Care,Healthcare,High,1,EU patient/member interactions + sensitive data,https://news.microsoft.com/source/features/ai/meet-4-developers-leading-the-way-with-ai-agents/
Province of Bolzano,Public Sector,High,1,EU citizen/student interactions + procurement scrutiny,https://news.microsoft.com/source/emea/features/bolzano-digital-renaissance-citizens-first-ai/
Levi Strauss & Co.Retail/,Apparel,High,1,EU consumer interactions + transparency obligations,https://news.microsoft.com/source/2025/11/17/levi-strauss-co-partners-with-microsoft-to-develop-next-gen-superagent/
WesfarmersConglomerate/,Retail,High,1,EU consumer interactions + transparency obligations,https://news.microsoft.com/source/2025/11/17/levi-strauss-co-partners-with-microsoft-to-develop-next-gen-superagent/
Cognizant,IT Services,High,1,EU employee/customer workflows + governance risk,https://news.microsoft.com/copilot-in-the-c-suite/
Infosys,IT Services,High,1,EU employee/customer workflows + governance risk,https://news.microsoft.com/copilot-in-the-c-suite/
Sumeeko Industries Company Limited,Manufacturing,High,1,EU employee/customer workflows + governance risk,https://news.microsoft.com/apac/ai-customer-stories-1/
Vision AustraliaNonprofit/,Healthcare,High,1,EU patient/member interactions + sensitive data,https://news.microsoft.com/apac/ai-customer-stories-1/
Kindai University Aquaculture Research Institute,Education/Research,High,1,EU citizen/student interactions + procurement scrutiny,https://news.microsoft.com/apac/ai-customer-stories-1/
365mc,Healthcare,High,1,EU patient/member interactions + sensitive data,https://news.microsoft.com/apac/ai-customer-stories-1/
Apollo Hospitals,Healthcare,High,1,EU patient/member interactions + sensitive data,https://news.microsoft.com/apac/ai-customer-stories-1/
Orient Overseas Container Line,Logistics/Shipping,High,1,EU employee/customer workflows + governance risk,https://news.microsoft.com/apac/ai-customer-stories-1/
Ricacorp Properties Limited,Real Estate,High,1,EU employee/customer workflows + governance risk,https://news.microsoft.com/apac/ai-customer-stories-1/
Mitsubishi Fuso Truck and Bus Corporation,Automotive,High,1,EU employee/customer workflows + governance risk,https://news.microsoft.com/apac/ai-customer-stories-1/
ICRISAT,Agriculture/Research,High,1,EU employee/customer workflows + governance risk,https://news.microsoft.com/apac/ai-customer-stories-1/
United Phosphorous,Agriculture/Chemicals,High,1,EU employee/customer workflows + governance risk,https://news.microsoft.com/apac/ai-customer-stories-1/
Government of Karnataka,Public Sector,High,1,EU citizen/student interactions + procurement scrutiny,https://news.microsoft.com/apac/ai-customer-stories-1/
Forus Health,Healthcare,High,1,EU patient/member interactions + sensitive data,https://news.microsoft.com/apac/ai-customer-stories-1/
